company_code,report_period,split,f6_inquiry_count_12m,f6_inquiry_count_24m,f6_inquiry_count_60m,f6_annual_report_inquiry_count,f6_attention_letter_count,f6_restructuring_inquiry_count,f6_first_inquiry_interval_days,f6_last_inquiry_interval_days,f6_avg_inquiry_interval_days,f6_inquiry_interval_cv,f6_unreplied_count,f6_severity_score
000014.SZ,20240331,Validation,0,1,2,1,1,0,794.0,718.0,76.0,0.0,0,0.2
000014.SZ,20240630,Validation,0,0,2,1,1,0,885.0,809.0,76.0,0.0,0,0.2
000014.SZ,20240930,Validation,0,0,2,1,1,0,977.0,901.0,76.0,0.0,0,0.2
000014.SZ,20241231,Validation,0,0,2,1,1,0,1069.0,993.0,76.0,0.0,0,0.2
000016.SZ,20200331,Train,1,1,1,0,1,0,37.0,37.0,0.0,0.0,0,0.1
000016.SZ,20200630,Train,1,1,1,0,1,0,128.0,128.0,0.0,0.0,0,0.1
000016.SZ,20200930,Train,1,1,1,0,1,0,220.0,220.0,0.0,0.0,0,0.1
000016.SZ,20201231,Train,1,1,1,0,1,0,312.0,312.0,0.0,0.0,0,0.1
000016.SZ,20210331,Train,0,1,1,0,1,0,402.0,402.0,0.0,0.0,0,0.1
000016.SZ,20210630,Train,0,1,1,0,1,0,493.0,493.0,0.0,0.0,0,0.1
000016.SZ,20210930,Train,0,1,1,0,1,0,585.0,585.0,0.0,0.0,0,0.1
000016.SZ,20211231,Train,0,1,1,0,1,0,677.0,677.0,0.0,0.0,0,0.1
000016.SZ,20220331,Train,0,0,1,0,1,0,767.0,767.0,0.0,0.0,0,0.1
000016.SZ,20220630,Train,0,0,1,0,1,0,858.0,858.0,0.0,0.0,0,0.1
000016.SZ,20220930,Train,0,0,1,0,1,0,950.0,950.0,0.0,0.0,0,0.1
000016.SZ,20221231,Train,0,0,1,0,1,0,1042.0,1042.0,0.0,0.0,0,0.1
000016.SZ,20230331,Train,0,0,1,0,1,0,1132.0,1132.0,0.0,0.0,0,0.1
000016.SZ,20230630,Train,1,1,2,1,1,0,1223.0,56.0,1167.0,0.0,0,0.2
000016.SZ,20230930,Train,1,1,2,1,1,0,1315.0,148.0,1167.0,0.0,0,0.2
000016.SZ,20231231,Train,1,1,2,1,1,0,1407.0,240.0,1167.0,0.0,0,0.2
000016.SZ,20240331,Train,1,1,2,1,1,0,1498.0,331.0,1167.0,0.0,0,0.2
000016.SZ,20240630,Train,1,2,3,2,1,0,1589.0,69.0,760.0,0.5355263157894737,0,0.3
000016.SZ,20240930,Train,1,2,3,2,1,0,1681.0,161.0,760.0,0.5355263157894737,0,0.3
000016.SZ,20241231,Train,1,2,3,2,1,0,1773.0,253.0,760.0,0.5355263157894737,0,0.3
000017.SZ,20200331,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000017.SZ,20200630,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000017.SZ,20200930,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000017.SZ,20201231,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000017.SZ,20210331,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000017.SZ,20210630,Train,2,2,2,2,0,0,44.0,26.0,18.0,0.0,0,0.2
000017.SZ,20210930,Train,2,2,2,2,0,0,136.0,118.0,18.0,0.0,0,0.2
000017.SZ,20211231,Train,2,2,2,2,0,0,228.0,210.0,18.0,0.0,0,0.2
000017.SZ,20220331,Train,2,2,2,2,0,0,318.0,300.0,18.0,0.0,0,0.2
000017.SZ,20220630,Train,1,3,3,3,0,0,409.0,44.0,182.5,0.9013698630136986,0,0.3
000017.SZ,20220930,Train,1,3,3,3,0,0,501.0,136.0,182.5,0.9013698630136986,0,0.3
000017.SZ,20221231,Train,1,3,3,3,0,0,593.0,228.0,182.5,0.9013698630136986,0,0.3
000017.SZ,20230331,Train,1,3,3,3,0,0,683.0,318.0,182.5,0.9013698630136986,0,0.3
000017.SZ,20230630,Train,0,1,3,3,0,0,774.0,409.0,182.5,0.9013698630136986,0,0.3
000017.SZ,20230930,Train,0,1,3,3,0,0,866.0,501.0,182.5,0.9013698630136986,0,0.3
000017.SZ,20231231,Train,0,1,3,3,0,0,958.0,593.0,182.5,0.9013698630136986,0,0.3
000017.SZ,20240331,Train,2,3,5,3,1,1,1049.0,82.0,241.75,1.0203733911272546,0,0.5
000017.SZ,20240630,Train,2,2,5,3,1,1,1140.0,173.0,241.75,1.0203733911272546,0,0.5
000017.SZ,20240930,Train,2,2,5,3,1,1,1232.0,265.0,241.75,1.0203733911272546,0,0.5
000017.SZ,20241231,Train,2,2,5,3,1,1,1324.0,357.0,241.75,1.0203733911272546,0,0.5
000020.SZ,20200331,Test,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000020.SZ,20200630,Test,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000020.SZ,20200930,Test,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000020.SZ,20201231,Test,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000020.SZ,20210331,Test,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000020.SZ,20210630,Test,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000020.SZ,20210930,Test,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000020.SZ,20211231,Test,1,1,1,1,0,0,4.0,4.0,0.0,0.0,1,0.1
000020.SZ,20220331,Test,1,1,1,1,0,0,94.0,94.0,0.0,0.0,0,0.1
000020.SZ,20220630,Test,2,2,2,2,0,0,185.0,48.0,137.0,0.0,0,0.2
000020.SZ,20220930,Test,2,2,2,2,0,0,277.0,140.0,137.0,0.0,0,0.2
000020.SZ,20221231,Test,1,2,2,2,0,0,369.0,232.0,137.0,0.0,0,0.2
000020.SZ,20230331,Test,1,2,2,2,0,0,459.0,322.0,137.0,0.0,0,0.2
000020.SZ,20230630,Test,0,2,2,2,0,0,550.0,413.0,137.0,0.0,0,0.2
000020.SZ,20230930,Test,0,2,2,2,0,0,642.0,505.0,137.0,0.0,0,0.2
000020.SZ,20231231,Test,0,1,2,2,0,0,734.0,597.0,137.0,0.0,0,0.2
000020.SZ,20240331,Test,0,1,2,2,0,0,825.0,688.0,137.0,0.0,0,0.2
000020.SZ,20240630,Test,0,0,2,2,0,0,916.0,779.0,137.0,0.0,0,0.2
000020.SZ,20240930,Test,0,0,2,2,0,0,1008.0,871.0,137.0,0.0,0,0.2
000020.SZ,20241231,Test,0,0,2,2,0,0,1100.0,963.0,137.0,0.0,0,0.2
000023.SZ,20200331,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000023.SZ,20200630,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000023.SZ,20200930,Train,1,1,1,0,1,0,40.0,40.0,0.0,0.0,0,0.1
000023.SZ,20201231,Train,1,1,1,0,1,0,132.0,132.0,0.0,0.0,0,0.1
000023.SZ,20210331,Train,1,1,1,0,1,0,222.0,222.0,0.0,0.0,0,0.1
000023.SZ,20210630,Train,2,2,2,1,1,0,313.0,0.0,313.0,0.0,0,0.2
000023.SZ,20210930,Train,1,2,2,1,1,0,405.0,92.0,313.0,0.0,0,0.2
000023.SZ,20211231,Train,1,2,2,1,1,0,497.0,184.0,313.0,0.0,0,0.2
000023.SZ,20220331,Train,1,2,2,1,1,0,587.0,274.0,313.0,0.0,0,0.2
000023.SZ,20220630,Train,1,2,2,1,1,0,678.0,365.0,313.0,0.0,0,0.2
000023.SZ,20220930,Train,0,1,2,1,1,0,770.0,457.0,313.0,0.0,0,0.2
000023.SZ,20221231,Train,0,1,2,1,1,0,862.0,549.0,313.0,0.0,0,0.2
000023.SZ,20230331,Train,0,1,2,1,1,0,952.0,639.0,313.0,0.0,0,0.2
000023.SZ,20230630,Train,2,3,4,3,1,0,1043.0,44.0,333.0,0.8102545083022248,1,0.4
000023.SZ,20230930,Train,2,2,4,3,1,0,1135.0,136.0,333.0,0.8102545083022248,0,0.4
000023.SZ,20231231,Train,2,2,4,3,1,0,1227.0,228.0,333.0,0.8102545083022248,0,0.4
000023.SZ,20240331,Train,2,2,4,3,1,0,1318.0,319.0,333.0,0.8102545083022248,0,0.4
000023.SZ,20240630,Train,1,3,5,4,1,0,1409.0,61.0,337.0,0.6936769046449195,1,0.5
000025.SZ,20200331,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000025.SZ,20200630,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000025.SZ,20200930,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000025.SZ,20201231,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000025.SZ,20210331,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000025.SZ,20210630,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
