company_code,report_period,actual,prob,SHAP_top1_feature,SHAP_top1_direction,SHAP_top1_value,SHAP_top2_feature,SHAP_top2_direction,SHAP_top2_value,SHAP_top3_feature,SHAP_top3_direction,SHAP_top3_value,SHAP_top4_feature,SHAP_top4_direction,SHAP_top4_value,SHAP_top5_feature,SHAP_top5_direction,SHAP_top5_value
000038.SZ,20211231,1,0.28964629938678077,regulatory_inquiry_semantic_001,positive_risk,0.37703,gov_nonstandard_audit_opinion,positive_risk,0.3672,sent_read_count_30d,negative_risk,-0.20676,regulatory_inquiry_semantic_003,positive_risk,0.18163,mkt_volume_ratio_20d,negative_risk,-0.1677
000038.SZ,20220331,0,0.5440541136412465,regulatory_inquiry_semantic_001,positive_risk,0.5146,gov_nonstandard_audit_opinion,positive_risk,0.3804,f6_attention_letter_count,positive_risk,0.18708,regulatory_inquiry_semantic_003,positive_risk,0.17152,f6_inquiry_count_12m,positive_risk,0.14049
000038.SZ,20220630,1,0.34151790804559945,regulatory_inquiry_semantic_001,positive_risk,0.56526,mkt_return_60d,negative_risk,-0.3073,gov_nonstandard_audit_opinion,positive_risk,0.26698,f6_attention_letter_count,positive_risk,0.18603,f6_first_inquiry_interval_days,negative_risk,-0.1367
000038.SZ,20220930,1,0.5781667308943466,regulatory_inquiry_semantic_001,positive_risk,0.59873,gov_nonstandard_audit_opinion,positive_risk,0.33712,f6_attention_letter_count,positive_risk,0.18905,f6_inquiry_count_12m,positive_risk,0.18349,mkt_institutional_holder_count,positive_risk,0.14944
000040.SZ,20200331,1,0.656831415043061,regulatory_inquiry_semantic_001,positive_risk,0.50581,sent_read_count_30d,positive_risk,0.48874,f2_p_roa,positive_risk,0.23229,f2_benford_flag,positive_risk,0.18202,mkt_pb_ratio,positive_risk,0.17732
000040.SZ,20200630,1,0.48800851321871896,sent_read_count_30d,positive_risk,0.41456,regulatory_inquiry_semantic_001,positive_risk,0.34893,regulatory_inquiry_semantic_000,negative_risk,-0.18712,regulatory_inquiry_semantic_003,positive_risk,0.18687,f6_attention_letter_count,positive_risk,0.15394
000040.SZ,20200930,0,0.6054434311455814,regulatory_inquiry_semantic_001,positive_risk,0.44229,sent_read_count_30d,positive_risk,0.3688,regulatory_inquiry_semantic_000,negative_risk,-0.19165,regulatory_inquiry_semantic_003,positive_risk,0.17545,f6_attention_letter_count,positive_risk,0.16057
000040.SZ,20201231,0,0.6328347719806581,regulatory_inquiry_semantic_001,positive_risk,0.45113,sent_read_count_30d,positive_risk,0.40631,regulatory_inquiry_semantic_003,positive_risk,0.19157,regulatory_inquiry_semantic_000,negative_risk,-0.17686,f6_attention_letter_count,positive_risk,0.16448
000040.SZ,20210331,1,0.795863949809531,sent_read_count_30d,positive_risk,0.42689,regulatory_inquiry_semantic_001,positive_risk,0.34583,gov_nonstandard_audit_opinion,positive_risk,0.33501,regulatory_inquiry_semantic_003,positive_risk,0.21719,f6_attention_letter_count,positive_risk,0.19742
000040.SZ,20210630,0,0.5909570013813992,regulatory_inquiry_semantic_001,positive_risk,0.52071,sent_read_count_30d,positive_risk,0.43424,gov_nonstandard_audit_opinion,positive_risk,0.28007,f6_attention_letter_count,positive_risk,0.18652,regulatory_inquiry_semantic_000,negative_risk,-0.17074
000040.SZ,20210930,0,0.5097851022735399,regulatory_inquiry_semantic_001,positive_risk,0.44891,regulatory_inquiry_semantic_003,negative_risk,-0.34755,sent_read_count_30d,positive_risk,0.32122,f6_attention_letter_count,positive_risk,0.23831,gov_nonstandard_audit_opinion,positive_risk,0.22801
000040.SZ,20211231,0,0.43694968822694713,regulatory_inquiry_semantic_001,positive_risk,0.46112,sent_read_count_30d,positive_risk,0.36036,regulatory_inquiry_semantic_003,negative_risk,-0.34475,gov_nonstandard_audit_opinion,positive_risk,0.23192,f6_attention_letter_count,positive_risk,0.22006
000040.SZ,20220331,0,0.7772671017564546,regulatory_inquiry_semantic_001,positive_risk,0.6344,f6_last_inquiry_interval_days,positive_risk,0.48275,gov_nonstandard_audit_opinion,positive_risk,0.43877,sent_read_count_30d,positive_risk,0.34098,regulatory_inquiry_semantic_003,negative_risk,-0.29934
000040.SZ,20220630,0,0.20876103447737032,gov_nonstandard_audit_opinion,positive_risk,0.4198,f6_attention_letter_count,positive_risk,0.23065,regulatory_inquiry_semantic_001,negative_risk,-0.16474,mkt_return_20d,negative_risk,-0.14383,gov_top1_top10_ratio,positive_risk,0.08837
000040.SZ,20220930,0,0.31683088889875693,gov_nonstandard_audit_opinion,positive_risk,0.46288,sent_read_count_30d,positive_risk,0.4286,f6_attention_letter_count,positive_risk,0.23898,regulatory_inquiry_semantic_001,negative_risk,-0.16049,mkt_institutional_holder_count,positive_risk,0.13645
000040.SZ,20221231,0,0.39078699606504064,gov_nonstandard_audit_opinion,positive_risk,0.47732,sent_read_count_30d,positive_risk,0.30549,f6_attention_letter_count,positive_risk,0.27131,regulatory_inquiry_semantic_001,negative_risk,-0.16007,mkt_institutional_holder_count,positive_risk,0.14339
000040.SZ,20230331,1,0.340828230442105,gov_nonstandard_audit_opinion,positive_risk,0.5208,f6_attention_letter_count,positive_risk,0.25989,mkt_institutional_holder_count,positive_risk,0.18898,regulatory_inquiry_semantic_001,negative_risk,-0.16316,sent_read_count_30d,positive_risk,0.14366
000040.SZ,20230630,0,0.22277277408301976,regulatory_inquiry_semantic_001,positive_risk,0.43926,gov_nonstandard_audit_opinion,positive_risk,0.42682,f6_first_inquiry_interval_days,negative_risk,-0.36979,f6_inquiry_count_12m,negative_risk,-0.15658,mkt_institutional_holder_count,negative_risk,-0.13158
000040.SZ,20230930,0,0.2253290905702815,regulatory_inquiry_semantic_001,positive_risk,0.51415,gov_nonstandard_audit_opinion,positive_risk,0.44019,f6_first_inquiry_interval_days,negative_risk,-0.31343,f6_attention_letter_count,positive_risk,0.1605,f6_inquiry_count_12m,negative_risk,-0.15613
000040.SZ,20231231,0,0.17806905197710118,regulatory_inquiry_semantic_001,positive_risk,0.55786,gov_nonstandard_audit_opinion,positive_risk,0.38345,f6_first_inquiry_interval_days,negative_risk,-0.32975,mkt_institutional_holder_count,negative_risk,-0.20937,sent_read_count_30d,negative_risk,-0.20433
000040.SZ,20240331,0,0.30323789531217527,regulatory_inquiry_semantic_001,positive_risk,0.71566,f6_last_inquiry_interval_days,positive_risk,0.40884,f6_first_inquiry_interval_days,negative_risk,-0.21825,governance_year,negative_risk,-0.20612,sent_read_count_30d,negative_risk,-0.18295
000040.SZ,20240630,1,0.0577799968657142,f6_first_inquiry_interval_days,negative_risk,-0.59035,governance_year,negative_risk,-0.4122,mkt_institutional_holder_count,negative_risk,-0.21136,mkt_pb_ratio,positive_risk,0.20876,regulatory_inquiry_semantic_001,negative_risk,-0.1702
